a b angulo 
2.50e-08 2.50e-08 0.00 
2.58e-08 2.45e-08 0.00 
2.66e-08 2.39e-08 0.00 
2.74e-08 2.34e-08 0.00 
2.82e-08 2.29e-08 0.00 
2.89e-08 2.24e-08 0.00 
2.97e-08 2.18e-08 0.00 
3.05e-08 2.13e-08 0.00 
3.13e-08 2.08e-08 0.00 
3.21e-08 2.03e-08 0.00 
3.29e-08 1.97e-08 0.00 
3.37e-08 1.92e-08 0.00 
3.45e-08 1.87e-08 0.00 
3.53e-08 1.82e-08 0.00 
3.61e-08 1.76e-08 0.00 
3.68e-08 1.71e-08 0.00 
3.76e-08 1.66e-08 0.00 
3.84e-08 1.61e-08 0.00 
3.92e-08 1.55e-08 0.00 
4.00e-08 1.50e-08 0.00 
2.50e-08 2.50e-08 0.07 
2.58e-08 2.45e-08 0.07 
2.66e-08 2.39e-08 0.07 
2.74e-08 2.34e-08 0.07 
2.82e-08 2.29e-08 0.07 
2.89e-08 2.24e-08 0.07 
2.97e-08 2.18e-08 0.07 
3.05e-08 2.13e-08 0.07 
3.13e-08 2.08e-08 0.07 
3.21e-08 2.03e-08 0.07 
3.29e-08 1.97e-08 0.07 
3.37e-08 1.92e-08 0.07 
3.45e-08 1.87e-08 0.07 
3.53e-08 1.82e-08 0.07 
3.61e-08 1.76e-08 0.07 
3.68e-08 1.71e-08 0.07 
3.76e-08 1.66e-08 0.07 
3.84e-08 1.61e-08 0.07 
3.92e-08 1.55e-08 0.07 
4.00e-08 1.50e-08 0.07 
2.50e-08 2.50e-08 0.13 
2.58e-08 2.45e-08 0.13 
2.66e-08 2.39e-08 0.13 
2.74e-08 2.34e-08 0.13 
2.82e-08 2.29e-08 0.13 
2.89e-08 2.24e-08 0.13 
2.97e-08 2.18e-08 0.13 
3.05e-08 2.13e-08 0.13 
3.13e-08 2.08e-08 0.13 
3.21e-08 2.03e-08 0.13 
3.29e-08 1.97e-08 0.13 
3.37e-08 1.92e-08 0.13 
3.45e-08 1.87e-08 0.13 
3.53e-08 1.82e-08 0.13 
3.61e-08 1.76e-08 0.13 
3.68e-08 1.71e-08 0.13 
3.76e-08 1.66e-08 0.13 
3.84e-08 1.61e-08 0.13 
3.92e-08 1.55e-08 0.13 
4.00e-08 1.50e-08 0.13 
2.50e-08 2.50e-08 0.20 
2.58e-08 2.45e-08 0.20 
2.66e-08 2.39e-08 0.20 
